"Dwellings and non-residential stock, 2012-2025"
""
"";""
"";"Purpose";"Housing and non-residential function";"Housing and non-residential function";"Housing and non-residential function";"Housing and non-residential function";"Housing and non-residential function";"Housing and non-residential function";"Housing and non-residential function";"Housing and non-residential function";"Housing function";"Housing function";"Housing function";"Housing function";"Housing function";"Housing function";"Housing function";"Housing function";"Non-residential function: total";"Non-residential function: total";"Non-residential function: total";"Non-residential function: total";"Non-residential function: total";"Non-residential function: total";"Non-residential function: total";"Non-residential function: total"
"";"Topic";"Initial stock";"New construction";"Other additions";"Demolition";"Other withdrawals";"Corrections";"Stock balance";"Final stock";"Initial stock";"New construction";"Other additions";"Demolition";"Other withdrawals";"Corrections";"Stock balance";"Final stock";"Initial stock";"New construction";"Other additions";"Demolition";"Other withdrawals";"Corrections";"Stock balance";"Final stock"
"Regions";"Periods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"The Netherlands";"2015";"8707,468";"54659";"54125";"16194";"26748";"448";"66290";"8773,789";"7587,964";"48381";"30015";"11519";"14005";"464";"53336";"7641,323";"1119,504";"6278";"24110";"4675";"12743";"-16";"12954";"1132,466"
"The Netherlands";"2016";"8773,789";"61798";"48977";"18548";"57871";"831";"35187";"8808,987";"7641,323";"54849";"30819";"10138";"31169";"490";"44851";"7686,178";"1132,466";"6949";"18158";"8410";"26702";"341";"-9664";"1122,809"
"The Netherlands";"2017";"8808,987";"70422";"43222";"18498";"35299";"397";"60244";"8869,224";"7686,178";"62982";"27632";"12862";"23154";"209";"54807";"7740,984";"1122,809";"7440";"15590";"5636";"12145";"188";"5437";"1128,240"
"The Netherlands";"2018";"8869,224";"76092";"40641";"12497";"22213";"654";"82677";"8951,915";"7740,984";"66585";"26976";"8759";"11267";"386";"73921";"7814,912";"1128,240";"9507";"13665";"3738";"10946";"268";"8756";"1137,003"
"The Netherlands";"2019";"8951,914";"82045";"41251";"15242";"21356";"730";"87428";"9039,345";"7814,911";"71548";"26525";"10684";"11203";"686";"76872";"7891,786";"1137,003";"10497";"14726";"4558";"10153";"44";"10556";"1147,559"
"The Netherlands";"2020";"9039,345";"81101";"33938";"14273";"16514";"313";"84565";"9123,913";"7891,786";"69985";"22855";"10245";"8286";"234";"74543";"7966,331";"1147,559";"11116";"11083";"4028";"8228";"79";"10022";"1157,582"
"The Netherlands";"2021";"9123,913";"85202";"34590";"14671";"16884";"1685";"89922";"9213,833";"7966,331";"71221";"25411";"9925";"8409";"952";"79250";"8045,580";"1157,582";"13981";"9179";"4746";"8475";"733";"10672";"1168,253"
"The Netherlands";"2022";"9213,833";"90214";"34323";"15275";"17793";"1000";"92469";"9306,303";"8045,580";"74560";"24077";"10559";"8835";"406";"79649";"8125,229";"1168,253";"15654";"10246";"4716";"8958";"594";"12820";"1181,074"
